epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
173,881.287,0.29998,0.20715,0.81718,0.99619,1,0.995,0.92361,0.2951,0.17736,0.76655,0.0006179,0.0006179,0.0006179
174,886.098,0.31665,0.20927,0.82052,0.99453,1,0.995,0.92338,0.30343,0.17586,0.76755,0.000613184,0.000613184,0.000613184
175,890.915,0.31413,0.21117,0.82835,0.99533,1,0.995,0.92213,0.30338,0.17599,0.76619,0.000608468,0.000608468,0.000608468
176,895.802,0.30834,0.20712,0.81836,0.99683,1,0.995,0.9192,0.29881,0.17456,0.76568,0.000603752,0.000603752,0.000603752
177,900.596,0.30795,0.20341,0.81714,0.99639,1,0.995,0.92325,0.30027,0.16928,0.76546,0.000599037,0.000599037,0.000599037
178,905.379,0.29761,0.20236,0.82038,0.99651,1,0.995,0.91774,0.29844,0.17699,0.76605,0.000594321,0.000594321,0.000594321
179,910.087,0.29872,0.20269,0.81572,0.99596,1,0.995,0.92152,0.29979,0.16505,0.76542,0.000589605,0.000589605,0.000589605
180,914.971,0.29655,0.20254,0.8233,0.99571,1,0.995,0.9244,0.28826,0.16567,0.76488,0.00058489,0.00058489,0.00058489
181,919.776,0.30826,0.20447,0.82621,0.99549,1,0.995,0.92186,0.29377,0.16461,0.76517,0.000580174,0.000580174,0.000580174
182,924.553,0.30624,0.20121,0.81583,0.99689,1,0.995,0.92334,0.29614,0.16862,0.76472,0.000575458,0.000575458,0.000575458
183,929.287,0.30272,0.20314,0.81953,0.99716,1,0.995,0.92117,0.29914,0.16995,0.76401,0.000570743,0.000570743,0.000570743
184,934.039,0.30166,0.20481,0.81713,0.99706,1,0.995,0.92537,0.29139,0.16238,0.76387,0.000566027,0.000566027,0.000566027
